staff_id,department,shift_duration_hours,patient_load,workdays_per_month,satisfaction_score,overtime_hours,years_of_experience,previous_satisfaction_rating,absenteeism_days,role
S00001,Pediatrics,10,9,17,1.56,11,17,3.44,3,Doctor
S00002,Pediatrics,8,12,20,2.34,8,12,4.12,2,Doctor
S00003,Pediatrics,10,8,18,1.89,9,15,3.78,1,Nurse
S00004,Surgery,12,15,16,2.67,15,20,4.56,4,Doctor
S00005,Surgery,10,10,19,2.12,12,18,3.89,2,Doctor
S00006,Surgery,8,11,21,1.78,7,10,3.23,1,Nurse
S00007,Emergency,12,20,18,3.45,20,25,4.89,5,Doctor
S00008,Emergency,10,18,20,2.89,16,22,4.34,3,Doctor
S00009,Emergency,12,22,17,3.12,18,20,4.67,4,Nurse
S00010,Cardiology,10,14,19,2.23,10,16,3.67,2,Doctor
S00011,Cardiology,8,12,20,1.95,8,14,3.45,1,Doctor
S00012,Cardiology,10,13,18,2.10,9,15,3.56,2,Nurse
S00013,Neurology,12,16,17,2.78,14,19,4.12,3,Doctor
S00014,Neurology,10,14,19,2.34,11,17,3.89,2,Doctor
S00015,Neurology,8,10,21,1.87,7,12,3.34,1,Nurse
S00016,Orthopedics,10,12,18,2.01,10,14,3.56,2,Doctor
S00017,Orthopedics,8,11,20,1.76,8,13,3.23,1,Doctor
S00018,Orthopedics,10,13,19,2.15,9,15,3.67,2,Nurse
S00019,Pediatrics,8,10,20,1.92,8,11,3.45,1,Nurse
S00020,Surgery,10,12,18,2.05,10,16,3.78,2,Nurse
